CustomerID,first_purchase,last_purchase,frequency,items_count,monetary,product_diversity,returned_orders,returned_items,return_rate,recency,tenure_days,aov,avg_days_between_orders,cluster_id,pca_x,pca_y,churn_risk_score,projected_clv_6m,projected_clv_12m,segment_persona,recommended_action
12830,2011-06-21 10:53:00,2011-11-02 11:54:00,6,9848,6814.64,13,1.0,1.0,14.29,38,172,1135.77,26.8,3,0.2315,0.2197,37.0,1184.38,2277.65,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12831,2011-03-22 13:02:00,2011-03-22 13:02:00,1,135,215.05,9,0.0,0.0,0.0,262,262,215.05,262.0,1,-0.3957,0.0253,61.3,15.07,28.99,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12832,2011-09-02 13:48:00,2011-11-07 13:30:00,2,195,383.03,27,0.0,0.0,0.0,32,98,191.52,66.0,2,0.0053,-0.1112,20.8,146.89,282.47,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12833,2011-07-17 13:46:00,2011-07-17 13:46:00,1,156,417.38,24,0.0,0.0,0.0,145,145,417.38,145.0,1,-0.2873,-0.0178,53.5,63.51,122.14,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12834,2011-03-02 09:49:00,2011-03-02 09:49:00,1,110,312.38,18,0.0,0.0,0.0,283,283,312.38,283.0,1,-0.395,0.0504,61.3,20.27,38.98,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12836,2011-02-01 11:19:00,2011-10-11 15:10:00,4,1062,2610.36,148,0.0,0.0,0.0,59,312,652.59,84.3,3,0.0741,0.1562,29.7,279.09,536.7,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12837,2011-06-19 16:07:00,2011-06-19 16:07:00,1,24,134.1,12,0.0,0.0,0.0,173,173,134.1,173.0,1,-0.3498,-0.0446,59.7,14.82,28.5,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12838,2010-12-01 11:57:00,2011-11-06 12:20:00,2,355,671.95,115,0.0,0.0,0.0,34,374,335.98,340.0,2,0.0148,-0.0802,17.0,70.76,136.08,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12839,2010-12-07 15:48:00,2011-12-07 12:33:00,14,3807,5591.42,95,2.0,3.0,12.5,3,367,399.39,28.0,0,0.7037,0.1053,10.2,649.19,1248.44,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12840,2011-04-27 12:21:00,2011-07-19 09:29:00,4,1511,2726.77,67,2.0,6.0,33.33,144,227,681.69,27.7,3,-0.055,0.2648,91.3,49.59,95.36,At-Risk High Spenders,"High-priority win-back promotion, dedicated account check-in, special survey."
12841,2010-12-03 10:43:00,2011-12-05 11:13:00,25,2720,3991.58,229,1.0,74.0,3.85,5,372,159.66,15.3,0,0.7353,0.2623,12.9,443.45,852.79,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12842,2011-02-04 12:36:00,2011-09-30 15:33:00,2,547,1118.99,34,0.0,0.0,0.0,70,309,559.5,239.0,3,-0.0733,0.027,27.0,125.44,241.23,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12843,2011-03-20 14:38:00,2011-10-05 12:09:00,8,781,1702.26,69,1.0,28.0,11.11,66,264,212.78,28.3,3,0.1534,0.2821,58.5,126.97,244.17,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12844,2011-08-01 13:11:00,2011-11-10 13:31:00,2,125,325.96,47,0.0,0.0,0.0,29,130,162.98,101.0,2,0.0142,-0.1296,17.8,97.8,188.07,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12845,2011-02-22 14:10:00,2011-03-17 13:34:00,4,204,354.09,26,0.0,0.0,0.0,267,290,88.52,7.7,1,-0.2117,0.2524,98.0,1.16,2.23,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12847,2011-11-17 13:16:00,2011-11-17 13:16:00,1,873,843.64,72,0.0,0.0,0.0,22,22,843.64,22.0,2,0.0086,-0.2115,26.1,324.19,623.45,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12849,2011-03-16 12:26:00,2011-11-08 13:41:00,2,597,1010.29,47,0.0,0.0,0.0,31,269,505.14,238.0,2,0.0412,-0.0738,16.6,148.62,285.82,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12851,2011-09-04 12:41:00,2011-09-04 12:41:00,1,106,131.81,43,0.0,0.0,0.0,97,97,131.81,97.0,1,-0.2655,-0.1148,42.8,36.88,70.93,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12852,2011-02-18 08:47:00,2011-02-18 08:47:00,1,149,311.55,17,1.0,4.0,50.0,295,295,311.55,295.0,1,-0.4012,0.0553,61.3,19.39,37.29,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12853,2011-01-28 10:28:00,2011-07-28 11:29:00,6,800,1957.1,66,3.0,18.0,33.33,135,316,326.18,36.2,3,0.0065,0.3178,86.1,40.85,78.55,At-Risk High Spenders,"High-priority win-back promotion, dedicated account check-in, special survey."
12854,2011-01-25 13:35:00,2011-09-22 12:15:00,3,626,1316.25,95,2.0,5.0,40.0,79,318,438.75,119.5,3,-0.0322,0.1123,33.6,130.41,250.79,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12855,2010-12-02 09:37:00,2010-12-02 09:37:00,1,30,38.1,3,0.0,0.0,0.0,373,373,38.1,373.0,1,-0.503,-0.0048,61.3,1.88,3.61,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12856,2011-10-07 12:38:00,2011-12-02 10:52:00,6,1076,2170.78,155,2.0,3.0,25.0,8,64,361.8,11.2,0,0.4113,-0.0063,16.6,941.43,1810.45,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12857,2011-02-10 12:32:00,2011-05-13 10:20:00,2,343,1106.4,37,0.0,0.0,0.0,211,303,553.2,92.0,1,-0.2354,0.1588,83.3,28.93,55.64,At-Risk High Spenders,"High-priority win-back promotion, dedicated account check-in, special survey."
12863,2011-10-18 14:15:00,2011-10-18 14:15:00,1,188,521.2,5,1.0,2.0,50.0,52,52,521.2,52.0,2,-0.1303,-0.131,32.8,182.13,350.25,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12864,2011-07-24 13:03:00,2011-07-24 13:03:00,1,216,147.12,3,0.0,0.0,0.0,138,138,147.12,138.0,1,-0.3136,-0.0679,51.9,24.33,46.79,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12867,2010-12-14 16:39:00,2011-11-13 15:30:00,7,4284,4009.34,240,3.0,24.0,30.0,26,360,572.76,55.7,3,0.2935,0.1824,19.2,426.99,821.13,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12868,2010-12-01 12:50:00,2011-06-07 10:42:00,6,928,1607.06,72,0.0,0.0,0.0,186,373,267.84,37.4,3,-0.047,0.3479,98.0,4.09,7.86,At-Risk High Spenders,"High-priority win-back promotion, dedicated account check-in, special survey."
12871,2011-05-16 13:32:00,2011-09-16 15:07:00,2,200,380.64,8,0.0,0.0,0.0,84,207,190.32,123.0,1,-0.1348,0.003,35.0,56.71,109.07,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12872,2010-12-09 14:44:00,2011-01-17 10:52:00,2,319,599.97,58,0.0,0.0,0.0,327,365,299.98,38.0,1,-0.3197,0.1857,98.0,1.56,3.0,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12873,2011-03-02 14:58:00,2011-03-02 14:58:00,1,128,374.0,4,0.0,0.0,0.0,282,282,374.0,282.0,1,-0.3887,0.0576,61.3,24.35,46.83,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12875,2010-12-12 12:03:00,2011-07-19 15:30:00,2,2019,343.23,1,0.0,0.0,0.0,143,363,171.62,220.0,1,-0.216,0.0624,47.7,23.47,45.13,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12877,2010-12-16 12:23:00,2011-12-06 10:30:00,12,1178,1535.77,100,0.0,0.0,0.0,4,359,127.98,32.3,0,0.6023,0.0455,10.5,181.67,349.37,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12878,2011-03-18 14:02:00,2011-04-17 13:07:00,2,547,854.99,38,1.0,11.0,33.33,236,266,427.5,30.0,1,-0.2602,0.1614,98.0,3.05,5.87,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12879,2011-09-09 12:11:00,2011-10-26 12:24:00,3,370,573.22,7,1.0,7.0,25.0,45,92,191.07,23.5,3,0.0228,0.0101,47.3,155.8,299.62,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12881,2011-03-09 11:44:00,2011-03-09 11:44:00,1,21,298.0,7,0.0,0.0,0.0,276,276,298.0,276.0,1,-0.3928,0.0454,61.3,19.83,38.13,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12882,2011-11-06 11:22:00,2011-11-30 16:18:00,2,246,1463.04,12,0.0,0.0,0.0,9,34,731.52,25.0,2,0.2251,-0.1987,14.2,652.75,1255.29,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12883,2011-09-11 15:18:00,2011-11-15 09:32:00,4,196,703.47,39,0.0,0.0,0.0,25,89,175.87,21.3,3,0.1553,-0.0007,29.8,256.8,493.84,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12884,2011-09-12 13:10:00,2011-09-12 13:10:00,1,43,309.05,7,0.0,0.0,0.0,88,88,309.05,88.0,1,-0.2238,-0.0904,40.8,95.14,182.96,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12885,2011-08-08 11:45:00,2011-10-07 13:40:00,3,655,1175.22,66,1.0,1.0,25.0,63,124,391.74,30.5,3,-0.0028,0.0805,53.8,207.77,399.55,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12886,2011-05-04 11:21:00,2011-10-03 10:09:00,2,770,1378.4,75,1.0,9.0,33.33,68,220,689.2,152.0,3,-0.0624,0.0324,28.3,213.16,409.93,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12888,2011-03-29 14:31:00,2011-05-09 16:02:00,2,76,354.12,4,2.0,8.0,50.0,214,255,177.06,41.0,1,-0.2743,0.1122,98.0,1.32,2.53,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12890,2011-11-15 17:26:00,2011-11-15 17:26:00,1,256,376.72,78,0.0,0.0,0.0,24,24,376.72,24.0,2,-0.0297,-0.2356,26.6,143.79,276.51,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12891,2011-02-20 11:28:00,2011-06-07 12:31:00,3,950,331.0,2,0.0,0.0,0.0,186,293,110.33,53.5,1,-0.2022,0.1564,94.9,2.73,5.26,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12893,2011-11-09 12:34:00,2011-11-09 12:34:00,1,90,176.55,27,0.0,0.0,0.0,31,31,176.55,31.0,2,-0.0906,-0.2379,28.1,66.01,126.94,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12895,2011-09-14 08:35:00,2011-10-28 13:51:00,2,210,372.8,22,1.0,6.0,33.33,42,87,186.4,45.0,2,-0.0347,-0.0803,29.5,136.67,262.82,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12897,2011-02-11 11:40:00,2011-05-19 12:13:00,2,110,216.5,3,0.0,0.0,0.0,205,302,108.25,97.0,1,-0.2838,0.0862,80.6,6.6,12.69,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12902,2011-03-20 12:06:00,2011-03-20 12:06:00,1,66,138.68,10,0.0,0.0,0.0,265,265,138.68,265.0,1,-0.4115,0.0081,61.3,9.61,18.48,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12904,2011-06-20 13:18:00,2011-11-21 14:34:00,2,294,496.06,59,0.0,0.0,0.0,18,172,248.03,154.0,2,0.0953,-0.167,13.6,118.24,227.38,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12906,2011-09-22 15:03:00,2011-11-28 09:55:00,5,1749,2919.81,55,0.0,0.0,0.0,12,78,583.96,16.5,0,0.3378,0.0165,19.7,1219.19,2344.6,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12908,2011-01-31 12:37:00,2011-06-16 15:39:00,2,1200,750.0,1,2.0,1200.0,50.0,176,313,375.0,137.0,1,-0.2213,0.1205,65.3,39.45,75.87,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12909,2011-03-31 12:51:00,2011-10-31 12:43:00,5,1280,2178.67,78,3.0,10.0,37.5,40,253,435.73,53.2,3,0.1585,0.143,26.3,301.14,579.12,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12910,2011-04-12 10:01:00,2011-11-16 14:28:00,8,1692,3075.04,48,0.0,0.0,0.0,23,242,384.38,31.3,0,0.3243,0.183,22.2,469.08,902.09,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12912,2011-10-30 11:35:00,2011-12-07 08:55:00,5,670,1662.3,17,0.0,0.0,0.0,3,41,332.46,9.5,0,0.4938,-0.15,11.2,767.58,1476.12,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12913,2010-12-06 16:36:00,2011-12-05 12:11:00,5,1419,2483.63,37,0.0,0.0,0.0,5,368,496.73,90.8,0,0.4468,-0.0839,10.1,287.9,553.65,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12915,2010-12-02 12:33:00,2011-07-14 11:34:00,2,93,363.65,19,0.0,0.0,0.0,149,373,181.82,224.0,1,-0.2202,0.0698,49.2,23.5,45.19,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12916,2011-01-23 10:43:00,2011-07-24 10:35:00,4,1083,2944.95,53,1.0,8.0,20.0,139,321,736.24,60.7,3,-0.0473,0.2638,74.1,112.75,216.82,At-Risk High Spenders,"High-priority win-back promotion, dedicated account check-in, special survey."
12917,2011-08-03 16:42:00,2011-08-03 16:42:00,1,120,594.0,2,0.0,0.0,0.0,128,128,594.0,128.0,1,-0.2576,-0.0178,49.7,110.76,213.0,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12919,2011-06-23 09:22:00,2011-12-01 13:47:00,6,673,1335.19,34,2.0,5.0,25.0,8,170,222.53,32.4,0,0.3956,-0.027,12.7,325.34,625.66,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12920,2011-11-22 15:05:00,2011-11-22 15:05:00,1,128,162.78,27,0.0,0.0,0.0,17,17,162.78,17.0,2,-0.0082,-0.3109,25.0,63.48,122.08,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12922,2011-07-01 15:35:00,2011-07-01 15:35:00,1,370,405.38,28,0.0,0.0,0.0,161,161,405.38,161.0,1,-0.3036,-0.0065,57.0,51.37,98.8,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12923,2011-10-06 16:20:00,2011-10-06 16:20:00,1,68,172.82,28,0.0,0.0,0.0,64,64,172.82,64.0,2,-0.1961,-0.1531,35.5,57.96,111.47,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12924,2011-01-16 11:49:00,2011-09-12 13:55:00,4,481,933.7,22,1.0,1.0,20.0,88,328,233.42,80.0,3,-0.0174,0.1602,42.5,77.67,149.36,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12925,2011-09-26 11:05:00,2011-12-05 11:11:00,2,541,694.05,42,0.0,0.0,0.0,5,75,347.02,70.0,2,0.2765,-0.2922,10.3,323.73,622.55,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12928,2010-12-15 15:45:00,2011-11-04 14:24:00,5,1472,2062.7,59,0.0,0.0,0.0,35,359,412.54,81.0,3,0.1759,0.1249,20.8,215.93,415.24,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12929,2011-02-01 12:08:00,2011-02-01 12:08:00,1,37,117.85,8,1.0,1.0,50.0,312,312,117.85,312.0,1,-0.4407,0.0209,61.3,6.94,13.34,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12930,2011-06-21 13:25:00,2011-09-22 15:18:00,2,252,415.8,20,2.0,2.0,50.0,78,171,207.9,93.0,1,-0.1211,-0.0021,36.0,73.84,142.0,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12931,2010-12-17 09:45:00,2011-11-18 12:39:00,15,28004,42055.96,28,5.0,4627.0,25.0,22,358,2803.73,24.0,0,0.5224,0.417,24.8,4191.78,8061.12,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12933,2011-03-01 11:30:00,2011-11-15 16:38:00,3,499,607.53,102,1.0,1.0,25.0,24,284,202.51,130.0,2,0.1148,-0.0612,15.6,85.67,164.75,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12935,2011-01-24 13:58:00,2011-12-07 17:25:00,7,1853,2160.7,80,1.0,1.0,12.5,2,319,308.67,52.8,0,0.5984,-0.1097,9.3,291.5,560.59,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12936,2011-09-22 13:51:00,2011-11-22 17:32:00,4,559,1063.9,56,1.0,20.0,20.0,17,78,265.98,20.3,3,0.2231,-0.0276,22.4,429.31,825.6,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12937,2011-03-17 14:19:00,2011-11-24 15:05:00,4,1007,1504.27,81,0.0,0.0,0.0,15,267,376.07,84.0,0,0.2517,-0.0271,13.5,231.24,444.7,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12938,2011-11-14 11:21:00,2011-11-14 11:21:00,1,140,114.14,9,0.0,0.0,0.0,26,26,114.14,26.0,2,-0.0795,-0.2768,27.0,43.33,83.32,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12939,2011-01-09 11:20:00,2011-10-06 14:33:00,8,4876,11581.8,21,0.0,0.0,0.0,64,335,1447.72,38.7,3,0.2199,0.3599,47.0,869.44,1672.01,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12940,2011-09-13 10:16:00,2011-10-16 12:09:00,2,404,899.69,87,2.0,5.0,50.0,55,88,449.84,33.0,2,-0.0453,-0.011,45.2,256.37,493.02,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12942,2010-12-09 09:34:00,2011-07-31 14:39:00,3,198,675.6,68,0.0,0.0,0.0,131,366,225.2,117.5,1,-0.1277,0.1446,52.3,41.78,80.35,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12944,2010-12-20 10:41:00,2011-11-04 11:04:00,2,289,604.51,29,0.0,0.0,0.0,36,355,302.26,319.0,2,0.0031,-0.078,17.5,66.66,128.19,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12945,2011-02-24 14:15:00,2011-02-24 14:15:00,1,165,462.95,23,0.0,0.0,0.0,288,288,462.95,288.0,1,-0.3849,0.0692,61.3,29.52,56.77,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12947,2010-12-01 16:21:00,2011-07-19 10:06:00,6,1165,1603.99,83,5.0,8.0,45.45,144,373,267.33,45.8,3,-0.0094,0.3171,84.7,31.22,60.04,At-Risk High Spenders,"High-priority win-back promotion, dedicated account check-in, special survey."
12948,2011-03-20 10:17:00,2011-11-23 17:10:00,7,1080,2064.95,82,1.0,3.0,12.5,16,265,294.99,41.5,0,0.3405,0.0982,16.0,310.58,597.27,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12949,2011-04-01 13:20:00,2011-11-09 11:25:00,8,2381,4167.22,166,2.0,18.0,20.0,31,252,520.9,31.6,3,0.2916,0.2307,27.8,566.52,1089.47,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12950,2011-11-15 13:48:00,2011-12-07 13:17:00,3,1380,1843.0,13,0.0,0.0,0.0,2,24,614.33,11.0,0,0.4641,-0.2706,10.3,859.64,1653.16,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12951,2011-01-13 10:33:00,2011-12-01 12:14:00,6,503,1064.07,53,2.0,3.0,25.0,9,331,177.34,64.4,0,0.3726,-0.0239,11.8,134.53,258.72,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12952,2011-09-22 16:37:00,2011-12-04 10:35:00,4,653,1387.79,64,1.0,1.0,20.0,6,78,346.95,24.0,0,0.3713,-0.1305,12.3,632.89,1217.1,Loyal Customers,"Cross-sell premium categories, early bird access, referral incentives."
12953,2011-11-30 09:24:00,2011-11-30 09:24:00,1,84,329.85,17,0.0,0.0,0.0,10,10,329.85,10.0,2,0.0874,-0.3406,19.0,138.93,267.18,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12955,2011-03-17 09:03:00,2011-12-08 16:29:00,11,3664,4757.16,81,3.0,22.0,21.43,1,268,432.47,26.7,0,0.7594,-0.0351,9.1,765.62,1472.35,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12956,2011-02-06 16:08:00,2011-02-06 16:08:00,1,34,108.07,19,0.0,0.0,0.0,306,306,108.07,306.0,1,-0.4406,0.0149,61.3,6.49,12.47,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12957,2011-01-04 12:18:00,2011-11-30 09:53:00,8,2549,4017.54,208,4.0,18.0,33.33,10,340,502.19,47.1,0,0.4483,0.1,12.8,488.91,940.22,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12962,2011-08-18 13:38:00,2011-12-02 15:55:00,2,129,266.39,15,0.0,0.0,0.0,7,113,133.2,106.0,2,0.2031,-0.298,10.7,99.89,192.11,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12963,2010-12-09 09:14:00,2011-12-01 12:55:00,8,881,1856.63,75,1.0,8.0,11.11,8,366,232.08,51.1,0,0.453,0.0429,11.8,212.3,408.27,Champions (VIP),"Exclusive VIP preview, concierge service, high-tier loyalty gifts."
12965,2011-09-11 15:31:00,2011-09-11 15:31:00,1,282,769.81,108,0.0,0.0,0.0,89,89,769.81,89.0,1,-0.196,-0.0504,41.0,236.18,454.19,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12966,2011-11-30 12:38:00,2011-11-30 12:38:00,1,75,160.18,10,0.0,0.0,0.0,10,10,160.18,10.0,2,0.0641,-0.3712,19.0,67.47,129.75,Promising New,"Welcome discount on 2nd purchase, onboarding email journey, product tips."
12967,2010-12-03 09:49:00,2010-12-16 19:10:00,2,438,1660.9,19,2.0,195.0,50.0,358,372,830.45,14.0,1,-0.3002,0.2398,98.0,4.24,8.15,At-Risk High Spenders,"High-priority win-back promotion, dedicated account check-in, special survey."
12968,2011-08-19 15:44:00,2011-08-19 15:44:00,1,73,135.95,5,0.0,0.0,0.0,112,112,135.95,112.0,1,-0.2855,-0.0963,46.1,31.04,59.7,Low Value Occasional,Target with low-barrier impulse buys and seasonal holiday campaigns.
12970,2011-01-21 14:04:00,2011-12-02 14:30:00,4,268,405.47,116,0.0,0.0,0.0,7,322,101.37,105.0,0,0.3118,-0.1666,10.7,53.36,102.61,Potential Loyalists,"Offer bundle discounts, volume incentives, brand engagement newsletters."
12974,2011-05-26 09:33:00,2011-05-26 09:33:00,1,24,144.8,8,0.0,0.0,0.0,198,198,144.8,198.0,1,-0.3672,-0.0252,61.3,13.43,25.83,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12976,2011-05-12 09:55:00,2011-05-12 09:55:00,1,561,738.6,22,0.0,0.0,0.0,212,212,738.6,212.0,1,-0.3247,0.0521,61.3,63.98,123.03,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
12977,2011-07-06 16:40:00,2011-07-06 16:40:00,1,12,39.24,9,0.0,0.0,0.0,156,156,39.24,156.0,1,-0.3737,-0.1086,55.9,5.26,10.12,Hibernating / Inactive,"Automated reactivation campaign, steep 20% discount offer, clearance alerts."
